"","gene.ID","imprinting.category","Species.in.which.it.is.imprinted","annotated.function"
"103","Solyc04g054410","paternally expressed","S. peruvianum","Regulation of nuclear pre-mRNA domain containing 1B (AHRD V1 *-*- B5DEK0_RAT); contains Interpro domain(s)  IPR006903  Protein of unknown function DUF618 "
"109","Solyc04g072860","paternally expressed","S. peruvianum","Beta-D-xylosidase (AHRD V1 **** Q8W011_HORVU); contains Interpro domain(s)  IPR001764  Glycoside hydrolase, family 3, N-terminal "
"118","Solyc04g081100","paternally expressed","S. peruvianum","Amine oxidase (AHRD V1 *-*- A4RUP0_OSTLU); contains Interpro domain(s)  IPR002937  Amine oxidase "
"124","Solyc05g008390","paternally expressed","S. peruvianum","RING zinc finger-containing protein (AHRD V1 *--- Q54MR8_DICDI); contains Interpro domain(s)  IPR011016  Zinc finger, RING-CH-type "
"130","Solyc05g015420","paternally expressed","S. peruvianum","MYND finger family protein expressed (AHRD V1 ***- Q2R448_ORYSJ); contains Interpro domain(s)  IPR011990  Tetratricopeptide-like helical "
"138","Solyc06g009400","paternally expressed","S. peruvianum","Nitrogen regulatory protein P-II (AHRD V1 *-*- Q8DLA5_THEEB); contains Interpro domain(s)  IPR017918  Nitrogen regulatory protein PII, conserved site  IPR002187  Nitrogen regulatory protein PII "
"140","Solyc06g053750","paternally expressed","S. peruvianum","Ubiquitin carboxyl-terminal hydrolase family protein expressed (AHRD V1 *--- Q2R2A3_ORYSJ); contains Interpro domain(s)  IPR002083  MATH "
"144","Solyc06g065710","paternally expressed","S. peruvianum","Sister chromatid cohesion protein PDS5 homolog B-B (AHRD V1 *--- PD5BB_XENLA); contains Interpro domain(s)  IPR016024  Armadillo-type fold "
"145","Solyc06g069500","paternally expressed","S. peruvianum","Genomic DNA chromosome 5 P1 clone MXM12 (AHRD V1 *-*- Q9SD86_ARATH)"
"147","Solyc06g071490","paternally expressed","S. peruvianum","Serine/threonine-protein kinase ATM (AHRD V1 *--- ATM_ARATH); contains Interpro domain(s)  IPR000313  PWWP "
"148","Solyc06g071500","paternally expressed","S. peruvianum","Boron transporter (AHRD V1 **-* A5JUZ5_9ROSI); contains Interpro domain(s)  IPR003020  Bicarbonate transporter, eukaryotic "
"151","Solyc06g073970","paternally expressed","S. peruvianum","AT5G22070 protein (Fragment) (AHRD V1 ***- B9DHZ2_ARATH); contains Interpro domain(s)  IPR004949  Protein of unknown function DUF266, plant "
"174","Solyc07g061780","paternally expressed","S. peruvianum","Ubiquitin carboxyl-terminal hydrolase family protein (AHRD V1 *-** D7MB42_ARALY); contains Interpro domain(s)  IPR001394  Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 "
"190","Solyc08g062490","paternally expressed","S. peruvianum","WRKY transcription factor 16 (AHRD V1 **** C9DI05_9ROSI); contains Interpro domain(s)  IPR003657  DNA-binding WRKY "
"191","Solyc08g065940","paternally expressed","S. peruvianum","Zinc finger CCCH domain-containing protein 20 (AHRD V1 ***- C3H20_ARATH)"
"196","Solyc08g076160","paternally expressed","S. peruvianum","Guanine nucleotide-binding protein alpha-1 subunit (AHRD V1 *-*- B6TWS6_MAIZE); contains Interpro domain(s)  IPR001019  Guanine nucleotide binding protein (G-protein), alpha subunit "
"198","Solyc08g076350","paternally expressed","S. peruvianum","Abhydrolase domain-containing protein FAM108B1 (AHRD V1 *--- C0HAS5_SALSA)"
"199","Solyc08g076690","paternally expressed","S. peruvianum","Inositol-tetrakisphosphate 1-kinase 1 (AHRD V1 **** B6TJ44_MAIZE); contains Interpro domain(s)  IPR017427  Inositol-tetrakisphosphate 1-kinase "
"201","Solyc08g080580","paternally expressed","S. peruvianum","Myb (AHRD V1 ***- Q948S4_TOBAC); contains Interpro domain(s)  IPR015495  Myb transcription factor "
"209","Solyc09g014160","paternally expressed","S. peruvianum","UPF0503 protein At3g09070, chloroplastic (AHRD V1 ***- U503A_ARATH); contains Interpro domain(s)  IPR008004  Protein of unknown function DUF740 "
"211","Solyc09g064280","paternally expressed","S. peruvianum","Unknown Protein (AHRD V1)"
"216","Solyc09g066460","paternally expressed","S. peruvianum","Serine/threonine-protein kinase 38 (AHRD V1 ***- B6U4A0_MAIZE); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase "
"219","Solyc09g074510","paternally expressed","S. peruvianum","Tubby-like F-box protein 3 (AHRD V1 ***- TLP3_ARATH); contains Interpro domain(s)  IPR000007  Tubby, C-terminal "
"225","Solyc09g091960","paternally expressed","S. peruvianum","High mobility group family protein (AHRD V1 **-- D7KE87_ARALY); contains Interpro domain(s)  IPR001606  AT-rich interaction region "
"234","Solyc10g084440","paternally expressed","S. peruvianum","AT hook motif family protein (AHRD V1 ***- B6THS5_MAIZE)"
"235","Solyc10g085740","paternally expressed","S. peruvianum","GDSL esterase/lipase At5g03820 (AHRD V1 ***- GDL73_ARATH); contains Interpro domain(s)  IPR001087  Lipase, GDSL "
"236","Solyc10g085750","paternally expressed","S. peruvianum","Polyadenylate-binding protein 1 (AHRD V1 ***- Q6DF12_XENTR); contains Interpro domain(s)  IPR006515  Polyadenylate binding protein, human types 1, 2, 3, 4 "
"243","Solyc11g066040","paternally expressed","S. peruvianum","U-box domain-containing protein 13 (AHRD V1 **-- PUB13_ARATH); contains Interpro domain(s)  IPR011989  Armadillo-like helical "
"249","Solyc11g072050","paternally expressed","S. peruvianum","WD-repeat protein (AHRD V1 *--- Q7ND05_GLOVI); contains Interpro domain(s)  IPR017986  WD40 repeat, region "
"251","Solyc12g005270","paternally expressed","S. peruvianum","Histone H2A (AHRD V1 ***- D7KGW6_ARALY); contains Interpro domain(s)  IPR002119  Histone H2A "
"254","Solyc12g006620","paternally expressed","S. peruvianum","Zinc finger CCCH domain-containing protein 34 (AHRD V1 ***- C3H34_ORYSJ); contains Interpro domain(s)  IPR000571  Zinc finger, CCCH-type "
"260","Solyc12g014170","paternally expressed","S. peruvianum","Bromodomain containing 2 (Fragment) (AHRD V1 *--- A2AAU1_HUMAN); contains Interpro domain(s)  IPR001487  Bromodomain "
"266","Solyc12g042990","paternally expressed","S. peruvianum","Glycine-rich protein-like (AHRD V1 *-*- Q5ZB64_ORYSJ); contains Interpro domain(s)  IPR018545  CASC3/Barentsz eIF4AIII binding "
"273","Solyc12g098450","paternally expressed","S. peruvianum","DUF803 domain membrane protein (AHRD V1 **-- Q4WRL6_ASPFU); contains Interpro domain(s)  IPR008521  Protein of unknown function DUF803 "
