gene_id,length
Solyc01g005030,3523
Solyc01g005040,681
Solyc01g005050,706
Solyc01g005060,1298
Solyc01g005070,1526
Solyc01g005080,1949
Solyc01g005090,1142
Solyc01g005100,1267
Solyc01g005110,578
Solyc01g005120,1497
Solyc01g005130,1025
Solyc01g005140,1098
Solyc01g005150,792
Solyc01g005160,1709
Solyc01g005170,1245
Solyc01g005180,276
Solyc01g005190,864
Solyc01g005200,891
Solyc01g005210,2964
Solyc01g005220,2282
Solyc01g005230,1309
Solyc01g005240,2223
Solyc01g005250,1457
Solyc01g005260,1110
Solyc01g005270,1185
Solyc01g005280,1163
Solyc01g005290,808
Solyc01g005300,1964
Solyc01g005310,2132
Solyc01g005320,1172
Solyc01g005330,2562
Solyc01g005340,2013
Solyc01g005350,1100
Solyc01g005360,1042
Solyc01g005370,927
Solyc01g005380,1818
Solyc01g005390,704
Solyc01g005400,1014
Solyc01g005410,869
Solyc01g005420,827
Solyc01g005430,1638
Solyc01g005440,1462
Solyc01g005450,1141
Solyc01g005460,729
Solyc01g005470,750
Solyc01g005480,1689
Solyc01g005490,1393
Solyc01g005500,967
Solyc01g005510,2169
Solyc01g005520,1310
Solyc01g005530,654
Solyc01g005540,2078
Solyc01g005550,1963
Solyc01g005560,1588
Solyc01g005570,678
Solyc01g005580,1179
Solyc01g005590,418
Solyc01g005600,1438
Solyc01g005610,1158
Solyc01g005620,1514
Solyc01g005630,705
Solyc01g005640,1585
Solyc01g005650,1569
Solyc01g005660,927
Solyc01g005670,1569
Solyc01g005680,962
Solyc01g005690,1369
Solyc01g005700,2520
Solyc01g005710,604
Solyc01g005720,2201
Solyc01g005730,2715
Solyc01g005740,231
Solyc01g005750,279
Solyc01g005760,2828
Solyc01g005770,336
Solyc01g005780,2307
Solyc01g005790,1377
Solyc01g005800,2217
Solyc01g005810,1371
Solyc01g005820,1137
Solyc01g005830,1297
Solyc01g005840,831
Solyc01g005850,891
Solyc01g005860,338
Solyc01g005870,2391
Solyc01g005880,1044
Solyc01g005890,789
Solyc01g005900,840
Solyc01g005910,1114
Solyc01g005920,1719
Solyc01g005930,1382
Solyc01g005940,1186
Solyc01g005950,1494
Solyc01g005960,2536
Solyc01g005970,1718
Solyc01g005980,991
Solyc01g005990,1011
Solyc01g006000,1926
Solyc01g006010,2743
Solyc01g006020,977
Solyc01g006030,1032
Solyc01g006040,1918
Solyc01g006050,1390
Solyc01g006060,739
Solyc01g006070,959
Solyc01g006080,804
Solyc01g006090,1057
Solyc01g006100,2484
Solyc01g006110,1653
Solyc01g006120,2663
Solyc01g006130,1084
Solyc01g006140,2115
Solyc01g006150,1459
Solyc01g006160,731
Solyc01g006170,1141
Solyc01g006180,2045
Solyc01g006190,1284
Solyc01g006200,437
Solyc01g006210,1230
Solyc01g006220,1693
Solyc01g006230,1759
Solyc01g006240,674
Solyc01g006250,225
Solyc01g006260,698
Solyc01g006270,450
Solyc01g006280,2719
Solyc01g006290,1261
Solyc01g006300,1246
Solyc01g006310,1395
Solyc01g006320,798
Solyc01g006330,1484
Solyc01g006340,1630
Solyc01g006350,3699
Solyc01g006360,2582
Solyc01g006370,6144
Solyc01g006380,1604
Solyc01g006390,612
Solyc01g006400,1163
Solyc01g006410,510
Solyc01g006420,434
Solyc01g006430,1552
Solyc01g006440,1797
Solyc01g006450,1476
Solyc01g006460,1077
Solyc01g006470,867
Solyc01g006480,1119
Solyc01g006490,2100
Solyc01g006500,1658
Solyc01g006510,1537
Solyc01g006520,2663
Solyc01g006530,2418
Solyc01g006540,2987
Solyc01g006550,2593
Solyc01g006560,2883
Solyc01g006570,174
Solyc01g006580,1451
Solyc01g006590,1617
Solyc01g006600,4296
Solyc01g006610,951
Solyc01g006620,2351
Solyc01g006630,1499
Solyc01g006640,6960
Solyc01g006650,1983
Solyc01g006660,2028
Solyc01g006670,1662
Solyc01g006680,1474
Solyc01g006690,2068
Solyc01g006700,2339
Solyc01g006710,3663
Solyc01g006720,2423
Solyc01g006730,2115
Solyc01g006740,1644
Solyc01g006750,542
Solyc01g006760,723
Solyc01g006770,1491
Solyc01g006780,619
Solyc01g006790,731
Solyc01g006800,1380
Solyc01g006810,1238
Solyc01g006820,768
Solyc01g006830,1663
Solyc01g006840,2006
Solyc01g006850,3294
Solyc01g006860,1277
Solyc01g006870,2258
Solyc01g006880,5182
Solyc01g006890,2532
Solyc01g006900,1014
Solyc01g006910,753
Solyc01g006920,2644
Solyc01g006930,1576
Solyc01g006940,1267
Solyc01g006950,1041
Solyc01g006960,4259
Solyc01g006970,3479
Solyc01g006980,1567
Solyc01g006990,1945
Solyc01g007000,1374
Solyc01g007010,1360
Solyc01g007020,1511
Solyc01g007030,1465
Solyc01g007040,1061
Solyc01g007050,1266
Solyc01g007060,1570
Solyc01g007070,2620
Solyc01g007080,1472
Solyc01g007090,1869
Solyc01g007100,2699
Solyc01g007110,1102
Solyc01g007120,1853
Solyc01g007130,3500
Solyc01g007140,3056
Solyc01g007150,3057
Solyc01g007160,1164
Solyc01g007170,2910
Solyc01g007180,811
Solyc01g007190,1084
Solyc01g007200,1062
Solyc01g007210,411
Solyc01g007220,1066
Solyc01g007230,873
Solyc01g007240,687
Solyc01g007250,1376
Solyc01g007260,2655
Solyc01g007270,213
Solyc01g007280,970
Solyc01g007290,477
Solyc01g007300,678
Solyc01g007310,384
Solyc01g007320,2441
Solyc01g007330,1846
Solyc01g007340,1918
Solyc01g007350,588
Solyc01g007360,564
Solyc01g007370,739
Solyc01g007380,963
Solyc01g007390,90
Solyc01g007400,126
Solyc01g007410,147
Solyc01g007420,219
Solyc01g007430,283
Solyc01g007440,138
Solyc01g007450,201
Solyc01g007460,308
Solyc01g007470,387
Solyc01g007480,243
Solyc01g007490,729
Solyc01g007500,1858
Solyc01g007510,90
Solyc01g007520,711
Solyc01g007530,1060
Solyc01g007540,683
Solyc01g007550,150
Solyc01g007560,877
Solyc01g007570,1566
Solyc01g007580,1600
Solyc01g007590,1072
Solyc01g007600,935
Solyc01g007610,1859
Solyc01g007620,174
Solyc01g007630,1327
Solyc01g007640,7282
Solyc01g007650,615
Solyc01g007660,2117
Solyc01g007670,778
Solyc01g007680,396
Solyc01g007690,1011
Solyc01g007700,551
Solyc01g007710,469
Solyc01g007720,886
Solyc01g007730,298
Solyc01g007740,1132
Solyc01g007750,1029
Solyc01g007760,1605
Solyc01g007770,727
Solyc01g007780,905
Solyc01g007790,1303
Solyc01g007800,891
Solyc01g007810,897
Solyc01g007820,225
Solyc01g007830,327
Solyc01g007840,1047
Solyc01g007850,3138
Solyc01g007860,799
Solyc01g007870,462
Solyc01g007880,2652
Solyc01g007890,1137
Solyc01g007900,1251
Solyc01g007910,1569
Solyc01g007920,1145
Solyc01g007930,1377
Solyc01g007940,1428
Solyc01g007950,3159
Solyc01g007960,2002
Solyc01g007970,1968
Solyc01g007980,2108
Solyc01g007990,2235
Solyc01g008000,891
Solyc01g008010,1300
Solyc01g008020,1353
Solyc01g008030,340
Solyc01g008040,1131
Solyc01g008050,1443
Solyc01g008060,1700
Solyc01g008070,1512
Solyc01g008080,690
Solyc01g008090,577
Solyc01g008100,1160
Solyc01g008110,1787
Solyc01g008120,5423
Solyc01g008130,1904
Solyc01g008140,3462
Solyc01g008150,150
Solyc01g008160,1493
Solyc01g008170,2392
Solyc01g008180,2009
Solyc01g008190,691
Solyc01g008200,592
Solyc01g008210,782
Solyc01g008220,663
Solyc01g008230,1297
Solyc01g008240,1990
Solyc01g008250,1005
Solyc01g008260,779
Solyc01g008270,620
Solyc01g008280,1543
Solyc01g008290,1720
Solyc01g008300,825
Solyc01g008310,2070
Solyc01g008320,3192
Solyc01g008330,1856
Solyc01g008340,1311
Solyc01g008350,863
Solyc01g008360,755
Solyc01g008370,1316
Solyc01g008380,429
Solyc01g008390,2484
Solyc01g008400,241
Solyc01g008410,2163
Solyc01g008420,1877
Solyc01g008430,1152
Solyc01g008440,1865
